"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","FailsBreaksOrSkipesWith30Percent","MacOS, net8.0, Release","Mon Sep 08 13:26:17 UTC 2025","passed","Mon Sep 08 13:26:17 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","17","FailsWith25Percent","MacOS, net9.0, Release","Mon Sep 08 13:26:22 UTC 2025","failed","Mon Sep 08 13:26:22 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsWith25Percent"
"","5","AlwaysPasses","Windows, net8.0, Debug","Mon Sep 08 13:26:49 UTC 2025","passed","Mon Sep 08 13:26:49 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","7","FailsWith25Percent","Linux, net8.0, Release","Mon Sep 08 13:26:29 UTC 2025","passed","Mon Sep 08 13:26:29 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsWith25Percent"
"","0","BreaksWith25Percent","Windows, net8.0, Debug","Mon Sep 08 13:26:49 UTC 2025","passed","Mon Sep 08 13:26:49 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","11","FailsWith25Percent","MacOS, net8.0, Debug","Mon Sep 08 13:26:25 UTC 2025","failed","Mon Sep 08 13:26:25 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsWith25Percent"
"","0","FailsBreaksOrSkipesWith30Percent","Linux, net8.0, Debug","Mon Sep 08 13:26:24 UTC 2025","passed","Mon Sep 08 13:26:24 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","6","FailsWith25Percent","Linux, net8.0, Debug","Mon Sep 08 13:26:24 UTC 2025","passed","Mon Sep 08 13:26:24 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsWith25Percent"
"","4","AlwaysPasses","Windows, net9.0, Release","Mon Sep 08 13:26:49 UTC 2025","passed","Mon Sep 08 13:26:49 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","0","BreaksWith25Percent","Windows, net9.0, Release","Mon Sep 08 13:26:49 UTC 2025","passed","Mon Sep 08 13:26:49 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","8","BreaksWith25Percent","Linux, net8.0, Debug","Mon Sep 08 13:26:24 UTC 2025","broken","Mon Sep 08 13:26:24 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","7","FailsWith25Percent","Windows, net8.0, Debug","Mon Sep 08 13:26:49 UTC 2025","passed","Mon Sep 08 13:26:49 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsWith25Percent"
"","3","AlwaysPasses","MacOS, net9.0, Debug","Mon Sep 08 13:26:17 UTC 2025","passed","Mon Sep 08 13:26:17 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","23","FailsBreaksOrSkipesWith30Percent","Windows, net9.0, Release","Mon Sep 08 13:26:49 UTC 2025","failed","Mon Sep 08 13:26:49 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","0","FailsBreaksOrSkipesWith30Percent","Linux, net8.0, Release","Mon Sep 08 13:26:29 UTC 2025","passed","Mon Sep 08 13:26:29 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","12","FailsBreaksOrSkipesWith30Percent","MacOS, net9.0, Debug","Mon Sep 08 13:26:17 UTC 2025","failed","Mon Sep 08 13:26:17 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","1","BreaksWith25Percent","Windows, net9.0, Debug","Mon Sep 08 13:26:38 UTC 2025","passed","Mon Sep 08 13:26:38 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","30","FailsWith25Percent","Windows, net9.0, Debug","Mon Sep 08 13:26:38 UTC 2025","failed","Mon Sep 08 13:26:38 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsWith25Percent"
"","25","FailsBreaksOrSkipesWith30Percent","Linux, net9.0, Release","Mon Sep 08 13:26:24 UTC 2025","failed","Mon Sep 08 13:26:24 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","4","AlwaysPasses","Windows, net9.0, Debug","Mon Sep 08 13:26:38 UTC 2025","passed","Mon Sep 08 13:26:38 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","5","AlwaysPasses","Linux, net9.0, Release","Mon Sep 08 13:26:24 UTC 2025","passed","Mon Sep 08 13:26:24 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","3","FailsWith25Percent","MacOS, net8.0, Release","Mon Sep 08 13:26:17 UTC 2025","passed","Mon Sep 08 13:26:17 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsWith25Percent"
"","0","FailsBreaksOrSkipesWith30Percent","MacOS, net9.0, Release","Mon Sep 08 13:26:22 UTC 2025","passed","Mon Sep 08 13:26:22 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","1","BreaksWith25Percent","Windows, net8.0, Release","Mon Sep 08 13:26:49 UTC 2025","passed","Mon Sep 08 13:26:49 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","6","FailsWith25Percent","Windows, net9.0, Release","Mon Sep 08 13:26:49 UTC 2025","passed","Mon Sep 08 13:26:49 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsWith25Percent"
"","8","BreaksWith25Percent","Linux, net8.0, Release","Mon Sep 08 13:26:29 UTC 2025","broken","Mon Sep 08 13:26:29 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","2","AlwaysPasses","MacOS, net9.0, Release","Mon Sep 08 13:26:22 UTC 2025","passed","Mon Sep 08 13:26:22 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","5","AlwaysPasses","Windows, net8.0, Release","Mon Sep 08 13:26:49 UTC 2025","passed","Mon Sep 08 13:26:49 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","1","BreaksWith25Percent","Linux, net9.0, Release","Mon Sep 08 13:26:24 UTC 2025","passed","Mon Sep 08 13:26:24 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","5","AlwaysPasses","Linux, net9.0, Debug","Mon Sep 08 13:26:22 UTC 2025","passed","Mon Sep 08 13:26:22 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","27","FailsBreaksOrSkipesWith30Percent","Windows, net8.0, Release","Mon Sep 08 13:26:49 UTC 2025","broken","Mon Sep 08 13:26:49 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","3","AlwaysPasses","MacOS, net8.0, Debug","Mon Sep 08 13:26:25 UTC 2025","passed","Mon Sep 08 13:26:25 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","7","FailsWith25Percent","Linux, net9.0, Debug","Mon Sep 08 13:26:22 UTC 2025","passed","Mon Sep 08 13:26:22 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsWith25Percent"
"","5","AlwaysPasses","Linux, net8.0, Release","Mon Sep 08 13:26:29 UTC 2025","passed","Mon Sep 08 13:26:29 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
