"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","FailsBreaksOrSkipesWith30Percent","Windows, net8.0, Release","Mon Sep 08 18:36:52 UTC 2025","passed","Mon Sep 08 18:36:52 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","1","FailsBreaksOrSkipesWith30Percent","Windows, net9.0, Debug","Mon Sep 08 18:35:54 UTC 2025","passed","Mon Sep 08 18:35:54 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","2","AlwaysPasses","MacOS, net9.0, Release","Mon Sep 08 18:35:30 UTC 2025","passed","Mon Sep 08 18:35:30 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","3","AlwaysPasses","MacOS, net8.0, Release","Mon Sep 08 18:35:33 UTC 2025","passed","Mon Sep 08 18:35:33 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","30","FailsWith25Percent","Linux, net9.0, Debug","Mon Sep 08 18:35:34 UTC 2025","failed","Mon Sep 08 18:35:34 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsWith25Percent"
"","4","AlwaysPasses","MacOS, net8.0, Debug","Mon Sep 08 18:35:42 UTC 2025","passed","Mon Sep 08 18:35:42 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","4","AlwaysPasses","Linux, net9.0, Debug","Mon Sep 08 18:35:34 UTC 2025","passed","Mon Sep 08 18:35:34 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","0","BreaksWith25Percent","Linux, net9.0, Release","Mon Sep 08 18:35:34 UTC 2025","passed","Mon Sep 08 18:35:34 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","0","FailsBreaksOrSkipesWith30Percent","MacOS, net9.0, Debug","Mon Sep 08 18:35:29 UTC 2025","passed","Mon Sep 08 18:35:29 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","8","BreaksWith25Percent","Linux, net8.0, Debug","Mon Sep 08 18:35:34 UTC 2025","broken","Mon Sep 08 18:35:34 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","6","FailsWith25Percent","Windows, net9.0, Debug","Mon Sep 08 18:35:54 UTC 2025","passed","Mon Sep 08 18:35:54 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsWith25Percent"
"","0","FailsBreaksOrSkipesWith30Percent","MacOS, net8.0, Debug","Mon Sep 08 18:35:42 UTC 2025","passed","Mon Sep 08 18:35:42 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","0","BreaksWith25Percent","Linux, net8.0, Release","Mon Sep 08 18:35:33 UTC 2025","passed","Mon Sep 08 18:35:33 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","0","BreaksWith25Percent","Windows, net8.0, Release","Mon Sep 08 18:36:52 UTC 2025","passed","Mon Sep 08 18:36:52 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","2","AlwaysPasses","MacOS, net9.0, Debug","Mon Sep 08 18:35:29 UTC 2025","passed","Mon Sep 08 18:35:29 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
