"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","FailsBreaksOrSkipesWith30Percent","MacOS, net8.0, Debug","Mon Sep 08 13:33:49 UTC 2025","passed","Mon Sep 08 13:33:49 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","7","BreaksWith25Percent","MacOS, net8.0, Debug","Mon Sep 08 13:33:49 UTC 2025","broken","Mon Sep 08 13:33:49 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","4","AlwaysPasses","Linux, net8.0, Release","Mon Sep 08 13:33:49 UTC 2025","passed","Mon Sep 08 13:33:49 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","1","FailsBreaksOrSkipesWith30Percent","Windows, net9.0, Debug","Mon Sep 08 13:34:21 UTC 2025","passed","Mon Sep 08 13:34:21 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","1","FailsBreaksOrSkipesWith30Percent","MacOS, net8.0, Release","Mon Sep 08 13:33:51 UTC 2025","passed","Mon Sep 08 13:33:51 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","6","FailsWith25Percent","Windows, net9.0, Debug","Mon Sep 08 13:34:21 UTC 2025","passed","Mon Sep 08 13:34:21 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsWith25Percent"
"","0","FailsBreaksOrSkipesWith30Percent","MacOS, net9.0, Debug","Mon Sep 08 13:33:47 UTC 2025","passed","Mon Sep 08 13:33:47 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","0","BreaksWith25Percent","MacOS, net8.0, Release","Mon Sep 08 13:33:51 UTC 2025","passed","Mon Sep 08 13:33:51 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","3","AlwaysPasses","MacOS, net8.0, Release","Mon Sep 08 13:33:51 UTC 2025","passed","Mon Sep 08 13:33:51 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","0","BreaksWith25Percent","Linux, net8.0, Debug","Mon Sep 08 13:33:53 UTC 2025","passed","Mon Sep 08 13:33:53 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","0","FailsBreaksOrSkipesWith30Percent","MacOS, net9.0, Release","Mon Sep 08 13:33:50 UTC 2025","passed","Mon Sep 08 13:33:50 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","3","AlwaysPasses","MacOS, net8.0, Debug","Mon Sep 08 13:33:49 UTC 2025","passed","Mon Sep 08 13:33:49 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","11","FailsWith25Percent","Windows, net9.0, Release","Mon Sep 08 13:34:10 UTC 2025","passed","Mon Sep 08 13:34:10 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsWith25Percent"
"","5","AlwaysPasses","Windows, net8.0, Debug","Mon Sep 08 13:35:00 UTC 2025","passed","Mon Sep 08 13:35:00 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","AlwaysPasses"
"","0","FailsBreaksOrSkipesWith30Percent","Windows, net8.0, Release","Mon Sep 08 13:34:29 UTC 2025","passed","Mon Sep 08 13:34:29 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
"","1","BreaksWith25Percent","Linux, net9.0, Release","Mon Sep 08 13:33:52 UTC 2025","passed","Mon Sep 08 13:33:52 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","BreaksWith25Percent"
"","1","FailsBreaksOrSkipesWith30Percent","Linux, net8.0, Release","Mon Sep 08 13:33:49 UTC 2025","passed","Mon Sep 08 13:33:49 UTC 2025","UnitTests","Allure.Examples.CiEnvs.Allure2.Tests","UnitTests","FailsBreaksOrSkipesWith30Percent"
